tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
674739953134403584,968,327,Wed Dec 09 23:58:35 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/URNs5zFskc
674737130913071104,580,80,Wed Dec 09 23:47:22 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/KNfLnYPmYh
674690135443775488,1027,412,Wed Dec 09 20:40:38 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/Unz1uNrOzo
674670581682434048,1449,568,Wed Dec 09 19:22:56 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/NRNExUy9Hm
674664755118911488,812,205,Wed Dec 09 18:59:46 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/S8wCLemrNb
674646392044941312,1281,430,Wed Dec 09 17:46:48 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/YPfw7oahbD
674644256330530816,929,242,Wed Dec 09 17:38:19 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/m6aC8d1Kzp
674638615994089473,1518,513,Wed Dec 09 17:15:54 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/F33n1hy3LL
674632714662858753,1346,503,Wed Dec 09 16:52:27 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/EJzzNHE8bE
674606911342424069,840,86,Wed Dec 09 15:09:55 +0000 2015,Twitter for iPhone,Original tweet,s
674468880899788800,5567,1785,Wed Dec 09 06:01:26 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/6d9WziPXmx
674447403907457024,957,315,Wed Dec 09 04:36:06 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/AyJ7Ohk71f
674436901579923456,987,344,Wed Dec 09 03:54:22 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/CLEOjxhTEx
674422304705744896,1285,467,Wed Dec 09 02:56:22 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/BxTJAFSIgk
674416750885273600,611,117,Wed Dec 09 02:34:18 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/7qjXy1uUYY
674410619106390016,1071,402,Wed Dec 09 02:09:56 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/CZ0YaB40Hn
674394782723014656,1335,489,Wed Dec 09 01:07:00 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/cAlB4XCcsi
674372068062928900,767,280,Tue Dec 08 23:36:44 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/G4m0TFY9uc
674330906434379776,506,66,Tue Dec 08 20:53:11 +0000 2015,Twitter for iPhone,Original tweet,7
674318007229923329,1254,450,Tue Dec 08 20:01:55 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/7mf8XXPAZv
674307341513269249,10159,6046,Tue Dec 08 19:19:32 +0000 2015,Vine - Make a Scene,Original tweet,https://t.co/SroTpI6psB
674291837063053312,13206,5148,Tue Dec 08 18:17:56 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/2S6oye3XqK
674271431610523648,1394,645,Tue Dec 08 16:56:51 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/3aXX6wH6it
674269164442398721,824,202,Tue Dec 08 16:47:50 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/vYe9RlVz2N
674265582246694913,1463,734,Tue Dec 08 16:33:36 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/Pu9RhfHDEQ
674262580978937856,1180,386,Tue Dec 08 16:21:41 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/gJS1qU0jP7
674255168825880576,1307,466,Tue Dec 08 15:52:13 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/r6LZN1o1Gx
674082852460433408,682,144,Tue Dec 08 04:27:30 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/Bko5kFJYUU
674075285688614912,889,246,Tue Dec 08 03:57:26 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/7jOPktauh4
674063288070742018,5736,1911,Tue Dec 08 03:09:46 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/1ZbfqAVDg6
674053186244734976,2953,1131,Tue Dec 08 02:29:37 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/gQAMg5ypW5
674051556661161984,1294,432,Tue Dec 08 02:23:09 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/YE2XDHy4Yk
674045139690631169,1268,566,Tue Dec 08 01:57:39 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/t5ih0VrK02
674042553264685056,636,111,Tue Dec 08 01:47:22 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/sAI6gCGZYX
674038233588723717,980,369,Tue Dec 08 01:30:12 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/nX8FiGRHvk
674036086168010753,761,181,Tue Dec 08 01:21:40 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/jcNdw43BIP
674024893172875264,1586,1087,Tue Dec 08 00:37:11 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/qzYXbyv0SJ
674019345211760640,1016,265,Tue Dec 08 00:15:09 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/fqiEsTduEs
674014384960745472,1389,560,Mon Dec 07 23:55:26 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/Ac37LOe3xD
674008982932058114,1082,301,Mon Dec 07 23:33:58 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/PiSXXZjDSJ
673956914389192708,1752,838,Mon Dec 07 20:07:04 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/nyReCVRiyd
673919437611909120,1057,327,Mon Dec 07 17:38:09 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/cdwPTsGEAb
673906403526995968,2850,1438,Mon Dec 07 16:46:21 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/t5rQHl6W8M
673887867907739649,844,221,Mon Dec 07 15:32:42 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/6qYd6BNSPd
673716320723169284,2787,670,Mon Dec 07 04:11:02 +0000 2015,Twitter for iPhone,Original tweet,u
673715861853720576,3170,1815,Mon Dec 07 04:09:13 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/dFiaKZ9cDl
673711475735838725,941,265,Mon Dec 07 03:51:47 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/MTOOksRzvH
673709992831262724,754,236,Mon Dec 07 03:45:53 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/s2ktuPQd79
673708611235921920,954,256,Mon Dec 07 03:40:24 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/kLV8zUCfc8
673707060090052608,990,346,Mon Dec 07 03:34:14 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/QyH1CaY3SM
673705679337693185,1125,359,Mon Dec 07 03:28:45 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/Ymg4fwKlZd
673700254269775872,1282,501,Mon Dec 07 03:07:12 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/mcPd5AFfhA
